Aktenzeichen,Tattag,Zeit,Tatort 2,Tatb-Nr.,Verwarn-/Bußgeld,poi,street,number,clean_address
95026408.0,01.01.2022,10:40,Martelenberger Weg,112050.0,50.0,,Martelenberger Weg,,Martelenberger Weg
95026418.0,01.01.2022,12:48,Elsassplatz 4,141310.0,20.0,,Elsassplatz, 4,Elsassplatz 4
95026465.0,01.01.2022,13:43,Lütticher Straße 23,142671.0,70.0,,Lütticher Straße, 23,Lütticher Straße 23
95026411.0,01.01.2022,15:20,"Aachen-Haaren, jüd. Ehrenmal",141164.0,55.0,jüd. Ehrenmal,Aachen-Haaren,,Aachen-Haaren
80115216.0,02.01.2022,11:37,"Philipsstraße, Laterne 8",329610.0,60.0,Laterne 8,Philipsstraße,,Philipsstraße
2735621.0,02.01.2022,13:54,Couvenstraße 9-11,141313.0,40.0,,Couvenstraße, 9-11,Couvenstraße 9-11
2735626.0,02.01.2022,15:18,Rütscher Straße ggü. Haus-Nr. 8,141313.0,40.0,,Rütscher Straße, 8,Rütscher Straße 8
2735665.0,03.01.2022,09:26,Lütticher Straße vor Haus-Nr. 38/40,113140.0,20.0,,Lütticher Straße, 38/40,Lütticher Straße 38-40
2735676.0,03.01.2022,09:32,Goerdelerstraße neben Haus-Nr. 20a/20,113140.0,20.0,,Goerdelerstraße, 20a/20,Goerdelerstraße 20a-20
95026427.0,03.01.2022,09:36,Ahornweg nahe Hs 2-6 am Wendehammer,112454.0,55.0,,Ahornweg, 2-6,Ahornweg 2-6
